ALIMENTOS;CALORIAS(KCal);PROTEINAS(g);GORDURAS(g);H.CARBONO(g);Grupo
Abacate;198;1.90;18.70;5.20;1
Abacaxi;38;0.35;0.40;6.80;1
Abóbora;32;1.20;0.20;7.60;5
Acelga;32;1.60;0.40;5.60;7
Açúcar branco;396;0.00;0.00;99.00;8
Açúcar mascavado;360;0.40;0.50;90.60;8
Agrião;26;2.80;0.40;3.30;7
Aipim;132;1.00;0.40;32.80;6
Alcachofra;36;2.70;0.20;5.90;5
Alface;18;1.20;0.20;2.80;7
Alho;140;5.00;0.20;29.30;5
Ameixa japonesa;52;0.60;0.20;13.10;1
Ameixa preta seca;320;2.30;0.60;71.00;1
Amêndoa;635;18.60;54.10;19.60;6
Amendoim;572;25.50;44.00;21.30;6
Arroz;360;7.20;0.60;79.70;6
Arroz integral;355;7.20;1.50;77.60;6
Aveia;390;14.20;7.40;68.40;6
Avelã;665;10.80;63.20;19.80;6
Azeitona;165;1.60;18.50;1.10;5
Bacalhau;363;81.80;2.80;0.00;4
Banana;103;1.20;0.20;25.40;1
Banha;816;3.00;89.00;0.00;2
Batata Doce;132;1.30;0.30;28.60;6
Batata Inglesa;80;2.20;0.10;18.00;6
Beringela;31;1.00;0.30;6.30;7
Beterraba;45;1.70;0.10;9.50;7
Bolachas;393;8.00;10.00;74.60;6
Brócolos;43;3.80;0.60;6.40;5
Café;6;0.30;0.10;0.80;6
Cajú;51;0.80;0.20;11.60;6
Camarão (fresco);86;17.30;0.20;2.50;4
Camarão (seco);293;63.00;2.20;15.60;4
Carambola;40;0.50;0.30;8.80;1
Caranguejo;100;16.10;1.60;0.60;4
Carne bovina;244;18.70;18.20;0.00;4
Carne cabrito/ovelha;232;18.40;14.20;0.00;4
Carne galinha;243;18.30;18.50;0.00;4
Carne peru;267;20.00;20.20;0.00;4
Carne porco;292;15.30;18.50;0.00;4
Carne vitela;190;19.10;12.00;0.00;4
Castanha Cajú;562;15.20;37.00;42.00;6
Castanha Portuguesa;191;2.80;1.50;41.50;6
Cebola;46;1.40;0.20;9.70;5
Cenoura;42;0.90;0.35;8.90;5
Centeio;334;12.10;1.70;73.40;6
Cereja;39;1.80;1.00;6.80;1
Cerveja;42;0.30;0.00;5.10;6
Cevada;348;9.70;1.90;75.40;6
Chicória;23;2.20;0.30;3.90;6
Chocolate;462;12.00;32.00;60.50;8
Chuchu;54;1.85;0.30;10.20;5
Cidra;40;0.60;0.10;10.20;1
Coco (seco);302;3.50;27.20;13.70;1
Coco (verde);131;1.90;11.90;4.00;1
Cogumelo (lata);17;2.20;0.20;3.20;5
Coração bovino;115;17.00;3.40;0.40;4
Couve;50;4.50;0.70;7.50;7
Couve-flor;34;2.80;0.40;6.60;7
Creme de leite;200;2.90;20.00;4.00;3
Ervilha fresca;109;7.60;0.40;21.00;5
Ervilha seca;341;25.00;1.30;61.00;5
Espargos;21;1.80;0.20;3.60;7
Espinafre;32;2.90;0.51;4.30;7
Farinha Centeio;330;13.20;1.70;71.20;6
Farinha Integral;342;12.10;1.55;72.00;6
Farinha Mandioca;331;1.60;0.50;82.10;6
Farinha Milho;363;7.90;1.20;78.40;6
Farinha Trigo;365;11.80;1.10;74.70;6
Feijão branco;360;20.20;1.40;66.60;5
Feijão preto;342;20.70;1.30;62.40;5
Fígado bovino;134;19.80;3.90;3.60;4
Figo (em calda);168;0.60;0.20;41.00;1
Figo (maduro);73;1.20;0.25;15.60;1
Flocos de milho;386;8.20;0.40;86.70;6
Framboesa;57;1.20;0.40;13.80;1
Gelado de creme;210;5.00;12.00;21.00;8
Gelatina c/ açúcar;360;80.00;0.10;88.70;8
Geleia de goiaba;308;0.40;0.30;75.00;8
Geleia de morango ;259;0.60;0.20;63.50;8
Germen de trigo;361;25.20;10.00;50.00;6
Goiaba;69;0.90;0.40;17.30;1
Goiabada;274;0.00;0.40;68.30;1
Grão de bico;371;20.50;4.80;61.10;5
Groselha;63;1.20;0.80;14.60;1
Iogurte light;62;3.00;3.40;4.90;3
Laranja;88;1.20;0.20;12.60;1
Leite condensado;330;8.10;8.40;54.80;3
Leite de cabra;92;3.90;6.20;5.40;3
Leite de soja;40;41.80;20.30;28.00;3
Leite de vaca integral;66;3.30;3.50;5.20;3
Leite de vaca magro;55;3.60;2.80;5.50;3
Leite em pó;490;26.10;25.60;38.60;3
Leite em pó magro;349;34.00;1.00;49.20;3
Leite materno;66;1.50;3.70;6.80;3
Lentilhas;346;23.70;1.30;61.00;5
Lima;30;0.70;0.60;8.40;1
Limão;31;0.46;0.40;8.30;1
Língua de vaca;190;16.00;13.20;0.90;4
Linguiça;350;23.00;29.00;1.10;4
Linguiça mista;182;16.50;11.70;2.50;4
Maçã;61;0.30;0.30;15.20;1
Macarrão;351;11.20;0.66;73.20;6
Maionese;708;1.50;78.00;13.90;2
Maizena;356;0.60;1.30;85.50;6
Mamão;37;0.60;0.15;8.45;1
Mandioca;140;1.00;0.40;32.80;6
Manga;59;0.50;0.20;15.40;1
Manteiga s/ sal;751;1.00;84.00;0.00;2
Maracujá;89;1.90;1.30;17.60;1
Margarina;726;0.60;81.00;0.40;2
Marmelada;280;0.50;0.30;71.00;8
Mel;308;0.20;0.00;78.00;8
Melancia;25;0.50;0.15;5.30;1
Melão;27;0.55;0.10;6.20;1
Milho verde;106;3.90;1.10;21.80;6
Miolos de vaca;134;10.40;9.60;0.80;4
Morango;38;0.80;0.30;8.40;1
Mortadela;310;20.30;25.00;0.60;4
Mostarda;33;2.60;0.40;4.80;8
